bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
5,2,41.5,23.9,86.2
3,2,14.7,-96.1,26.1
3,2,10.7,-104.5,28.8
3,2,8.2,-104.0,29.4
3,2,7.6,-97.9,27.6
3,2,9.1,-86.0,23.0
2,2,13.1,-63.5,14.8
5,2,21.6,56.4,66.4
5,2,23.0,68.4,62.4
4,2,24.0,92.5,54.3
3,2,22.9,151.4,38.8
4,2,19.5,-43.4,47.9
4,2,-2.8,-134.9,49.0
5,2,46.4,36.4,86.4
5,2,41.3,30.8,83.4
3,2,15.7,-84.9,22.4
3,2,12.4,-89.7,23.4
3,2,11.5,-84.7,22.0
2,2,13.5,-70.6,17.1
5,2,20.0,56.9,65.3
5,2,21.2,67.6,61.4
4,2,22.9,86.8,54.9
4,2,25.1,127.6,43.5
4,2,-2.7,63.0,57.5
4,2,-3.5,-128.4,45.4
5,2,26.2,-121.8,68.4
5,2,49.9,48.8,88.8
5,2,46.2,41.8,83.5
5,2,35.0,42.7,75.6
2,2,19.6,-54.9,18.5
5,2,23.5,54.7,66.7
5,2,22.2,64.0,62.7
4,2,22.9,78.3,57.5
4,2,25.2,104.4,49.4
3,2,24.0,175.5,38.3
4,2,-13.7,-24.4,48.5
5,2,32.3,-78.3,67.7
5,2,52.7,70.2,89.4
5,2,50.6,62.2,83.3
5,2,40.0,59.0,73.5
5,2,32.3,64.4,66.6
5,2,28.5,75.4,60.8
4,2,28.1,94.2,54.2
4,2,29.8,132.2,45.8
5,2,-42.4,82.1,66.6
4,2,-13.0,163.2,49.8
4,2,19.7,-36.3,55.3
5,2,48.7,113.4,81.9
5,2,47.4,95.9,74.2
5,2,40.6,96.7,64.6
4,2,36.4,114.7,56.4
4,2,30.9,165.0,49.0
4,2,-3.5,71.8,51.9
5,2,-24.6,80.6,68.0
4,2,0.5,-102.4,41.5
4,2,-12.7,73.2,48.0
5,2,-45.3,116.4,78.0
5,2,-34.4,146.1,68.1
3,2,2.8,11.3,36.3
4,2,-34.6,85.1,53.7
4,2,-38.5,128.4,56.8
4,2,-2.8,128.7,47.6
2,2,-16.7,-58.2,19.7
3,2,-14.0,-61.3,22.6
3,2,-19.3,-76.1,29.9
2,2,-12.4,-48.9,18.5
2,2,-18.3,-26.3,9.1
2,2,-14.7,-36.2,15.1
3,2,-10.3,-68.1,28.3
4,2,-29.1,-88.7,43.7
3,2,-4.9,-52.5,27.7
3,2,-10.5,-33.9,20.7
5,2,-29.1,48.8,75.3
3,2,-9.0,-50.3,23.6
3,2,-12.0,-90.8,37.8
5,2,-33.0,103.0,74.7
4,2,6.5,-63.6,41.1
4,2,7.1,-55.8,42.0
3,2,-0.7,-38.7,33.2
2,2,-16.6,-14.7,7.7
3,2,-4.1,-76.9,35.8
4,2,-27.9,-110.9,51.2
4,2,14.4,-76.8,48.5
4,2,19.2,-75.0,53.4
4,2,19.5,-69.0,53.2
4,2,15.7,-58.3,48.9
3,2,3.9,-36.3,36.4
5,2,-40.2,49.6,82.3
3,2,-3.5,-51.6,28.0
4,2,-5.0,-101.7,45.4
4,2,23.0,-89.6,55.6
4,2,27.2,-90.2,59.1
4,2,28.2,-86.9,59.0
4,2,26.7,-79.9,56.5
4,2,22.7,-68.4,51.8
4,2,14.3,-49.3,43.4
5,2,-28.3,40.4,71.4
4,2,29.1,-50.2,52.9
3,2,-4.4,-46.9,35.1
3,2,2.5,-72.2,38.6
4,2,-11.5,-123.5,52.9
4,2,28.0,-102.7,58.5
5,2,30.9,-105.3,60.6
5,2,31.5,-103.9,60.2
4,2,30.6,-99.1,58.1
4,2,28.6,-90.7,54.7
4,2,25.2,-78.2,50.2
4,2,19.2,-59.5,43.6
4,2,25.1,-47.6,43.2
3,2,-1.3,-14.5,25.9
3,2,-1.1,-36.7,25.0
4,2,5.9,-95.9,48.7
4,2,-30.9,-123.0,57.1
4,2,30.3,-117.4,59.4
4,2,30.8,-118.8,59.4
4,2,30.1,-116.7,57.9
